period,value_reported,source_url,source_quote,derivation,precision,context,source_type,source_unit,source_value_reported
2021Q3,335.5,https://www.sec.gov/Archives/edgar/data/59478/000005947821000213/q321lillysalesandearningsp.htm,"Verzenio worldwide revenue, third quarter 2021 and 2020 then nine months 2021 and 2020, USD millions, percentage-change columns omitted | 335.5 | 234.4 | 945.8 | 631.1",direct_reported,as_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on.",sec_filing,millions,335.5
2021Q4,404.1,https://www.sec.gov/Archives/edgar/data/59478/000005947822000016/q421lillysalesandearningsp.htm,"Verzenio worldwide revenue, fourth quarter 2021 and 2020 then twelve months 2021 and 2020, USD millions, percentage-change columns omitted | 404.1 | 281.6 | 1,349.9 | 912.7",direct_reported,as_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on.",sec_filing,millions,404.1
2022Q1,469.4,https://www.sec.gov/Archives/edgar/data/59478/000005947822000130/q122lillysalesandearningsp.htm,"Verzenio worldwide revenue, first quarter 2022 and 2021, USD millions, percentage-change column omitted | 469.4 | 269.0",direct_reported,as_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on.",sec_filing,millions,469.4
2022Q2,588.5,https://www.sec.gov/Archives/edgar/data/59478/000005947822000194/q222lillysalesandearningsp.htm,"Verzenio worldwide revenue, second quarter 2022 and 2021 then six months 2022 and 2021, USD millions, percentage-change columns omitted | 588.5 | 341.3 | 1,057.9 | 610.3",direct_reported,as_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on.",sec_filing,millions,588.5
2022Q3,617.7,https://www.sec.gov/Archives/edgar/data/59478/000005947822000248/q322lillysalesandearningsp.htm,"Verzenio worldwide revenue, third quarter 2022 and 2021 then nine months 2022 and 2021, USD millions, percentage-change columns omitted | 617.7 | 335.5 | 1,675.6 | 945.8",direct_reported,as_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on.",sec_filing,millions,617.7
2022Q4,808.0,https://www.sec.gov/Archives/edgar/data/59478/000005947823000025/q422lillysalesandearningsp.htm,"Verzenio worldwide revenue, fourth quarter 2022 and 2021 then twelve months 2022 and 2021, USD millions, percentage-change columns omitted | 808.0 | 404.1 | 2,483.5 | 1,349.9",direct_reported,as_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on.",sec_filing,millions,808.0
2023Q1,750.9,https://www.sec.gov/Archives/edgar/data/59478/000005947823000160/q123lillysalesandearningsp.htm,"Verzenio worldwide revenue, first quarter 2023 and 2022, USD millions, percentage-change column omitted | 750.9 | 469.4",direct_reported,as_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on.",sec_filing,millions,750.9
2023Q2,926.8,https://www.sec.gov/Archives/edgar/data/59478/000005947823000219/q223lillysalesandearningsp.htm,"Verzenio worldwide revenue, second quarter 2023 and 2022 then six months 2023 and 2022, USD millions, percentage-change columns omitted | 926.8 | 588.5 | 1,677.7 | 1,057.9",direct_reported,as_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on.",sec_filing,millions,926.8
2023Q3,1040.2,https://www.sec.gov/Archives/edgar/data/59478/000005947823000282/q323lillysalesandearningsp.htm,"Verzenio worldwide revenue, third quarter 2023 and 2022 then nine months 2023 and 2022, USD millions, percentage-change columns omitted | 1,040.2 | 617.7 | 2,717.9 | 1,675.6",direct_reported,as_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on.",sec_filing,millions,1040.2
2023Q4,1145.4,https://www.sec.gov/Archives/edgar/data/59478/000005947824000032/q423lillysalesandearningsp.htm,"Verzenio worldwide revenue, fourth quarter 2023 and 2022 then twelve months 2023 and 2022, USD millions, percentage-change columns omitted | 1,145.4 | 808.0 | 3,863.4 | 2,483.5",direct_reported,as_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on.",sec_filing,millions,1145.4
2024Q1,1050.3,https://www.sec.gov/Archives/edgar/data/59478/000005947824000116/q124lillysalesandearningsp.htm,"Verzenio worldwide revenue, first quarter 2024 and 2023, USD millions, percentage-change column omitted | 1,050.3 | 750.9",direct_reported,as_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on.",sec_filing,millions,1050.3
2024Q2,1331.9,https://www.sec.gov/Archives/edgar/data/59478/000005947824000185/q224lillysalesandearningsp.htm,"Verzenio worldwide revenue, second quarter 2024 and 2023 then six months 2024 and 2023, USD millions, percentage-change columns omitted | 1,331.9 | 926.8 | 2,382.2 | 1,677.7",direct_reported,as_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on.",sec_filing,millions,1331.9
2024Q3,1369.3,https://www.sec.gov/Archives/edgar/data/59478/000005947824000242/q324lillysalesandearningsp.htm,"Verzenio worldwide revenue, third quarter 2024 and 2023 then nine months 2024 and 2023, USD millions, percentage-change columns omitted | 1,369.3 | 1,040.2 | 3,751.5 | 2,717.9",direct_reported,as_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on.",sec_filing,millions,1369.3
2024Q4,1555.2,https://www.sec.gov/Archives/edgar/data/59478/000005947825000037/q424lillysalesandearningsp.htm,"Verzenio worldwide revenue, fourth quarter 2024 and 2023 then twelve months 2024 and 2023, USD millions, percentage-change columns omitted | 1,555.2 | 1,145.4 | 5,306.6 | 3,863.4",direct_reported,as_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on.",sec_filing,millions,1555.2
2025Q1,1158.9,https://www.sec.gov/Archives/edgar/data/59478/000005947825000129/q125lillysalesandearningsp.htm,"Verzenio worldwide revenue, first quarter 2025 and 2024, USD millions, percentage-change column omitted | 1,158.9 | 1,050.3",direct_reported,as_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on.",sec_filing,millions,1158.9
2025Q2,1489.3,https://www.sec.gov/Archives/edgar/data/59478/000005947825000202/q225lillysalesandearningsp.htm,"Verzenio worldwide revenue, second quarter 2025 and 2024 then six months 2025 and 2024, USD millions, percentage-change columns omitted | 1,489.3 | 1,331.9 | 2,648.2 | 2,382.2",direct_reported,as_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on.",sec_filing,millions,1489.3
2025Q3,1470.2,https://www.sec.gov/Archives/edgar/data/59478/000005947825000251/q325lillysalesandearningsp.htm,"Verzenio worldwide revenue, third quarter 2025 and 2024 then nine months 2025 and 2024, USD millions, percentage-change columns omitted | 1,470.2 | 1,369.3 | 4,118.3 | 3,751.5",direct_reported,as_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on.",sec_filing,millions,1470.2
2025Q4,1604.0,https://www.sec.gov/Archives/edgar/data/59478/000005947826000008/q425lillysalesandearningsp.htm,"Verzenio worldwide revenue, fourth quarter 2025 and 2024 then twelve months 2025 and 2024, USD millions, percentage-change columns omitted | 1,604 | 1,555 | 5,723 | 5,307",direct_reported,as_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on.",sec_filing,millions,1604.0
2026Q1,1302.0,https://www.sec.gov/Archives/edgar/data/59478/000005947826000045/lly-20260331.htm,"Verzenio total revenue, three months ended March 31, 2026 and 2025, USD millions, U.S. and outside-U.S. columns omitted | 1,302 | 1,159",direct_reported,as_reported,"From 2025 the earnings release table lists only the newest products, so this quarter is read from the Disaggregation of Revenue table in the Form 10-Q, which states the product's U.S., outside-U.S. and Total columns for the three months and, from the second quarter, the year-to-date period. The Total column is the worldwide figure and is the one recorded; it reproduces the release-table figure wherever both exist.",sec_filing,millions,1302.0
2026Q2,1474.0,https://www.sec.gov/Archives/edgar/data/59478/000005947826000081/lly-20260630.htm,"Verzenio total revenue, three months ended June 30, 2026 and 2025 then six months ended June 30, 2026 and 2025, USD millions, U.S. and outside-U.S. columns omitted | 1,474 | 1,489 | 2,776 | 2,648",direct_reported,as_reported,"From 2025 the earnings release table lists only the newest products, so this quarter is read from the Disaggregation of Revenue table in the Form 10-Q, which states the product's U.S., outside-U.S. and Total columns for the three months and, from the second quarter, the year-to-date period. The Total column is the worldwide figure and is the one recorded; it reproduces the release-table figure wherever both exist.",sec_filing,millions,1474.0
